id,owner_id,pet_name,pet_type,breed,weight
99,22,Joy,Dog,German Shepherd,31
100,39,Lucy,Dog,German Shepherd,32
101,51,Bree,Rabbit,Mini Rex,5
102,70,Oliver,Cat,Siamese,10
103,31,Toby,Bird,Lovebird,1
104,12,Duke,Dog,German Shepherd,20
105,33,Noir,Dog,Golden Retriever,30
106,22,Noir,Cat,Ragdoll,8
107,94,Buddy,Rabbit,Netherland Dwarf,3
108,69,Bailey,Cat,Siamese,8
109,36,Bella,Cat,Maine Coon,4
110,24,Toby,Cat,Bengal,4
111,9,Luna,Dog,French Bulldog,14
112,64,Milo,Dog,Labrador,22
113,43,Molly,Dog,Golden Retriever,32
114,39,Molly,Fish,Betta,1
115,15,Milo,Cat,Alley,6
116,73,Oliver,Cat,Persian,7
117,94,Joy,Dog,Poodle,22
118,56,Bella,Dog,Labrador,29
119,6,Molly,Cat,Alley,10
120,71,Lola,Dog,Golden Retriever,13
121,70,Oliver,Cat,Siamese,8
122,96,Duke,Cat,Persian,6
123,13,Bella,Dog,Labrador,48
124,19,Noir,Cat,Persian,10
125,16,Molly,Fish,Molly,2
126,36,Chloe,Dog,Golden Retriever,14
127,94,Bailey,Dog,Golden Retriever,26
128,35,Nala,Dog,German Shepherd,27
129,26,Buddy,Dog,Golden Retriever,14
130,56,Joy,Dog,Poodle,15
131,48,Oliver,Cat,Bengal,5
132,45,Bailey,Cat,Ragdoll,8
133,75,Toby,Dog,Labrador,12
134,14,Duke,Dog,German Shepherd,20
135,40,Buddy,Cat,Siamese,3
136,27,Bailey,Cat,Maine Coon,6
137,46,Jack,Dog,Labrador,36
138,66,Noir,Dog,Poodle,38
139,42,Coco,Dog,Poodle,25
140,32,Luna,Rabbit,Holland Lop,1
141,75,Sadie,Dog,German Shepherd,28
142,27,Charlie,Fish,Tetra,1
143,4,Lucy,Cat,Bengal,9
144,15,Sadie,Dog,German Shepherd,10
145,12,Coco,Cat,Maine Coon,4
146,17,Sadie,Rabbit,Lionhead,4
147,100,Duke,Cat,Persian,8
148,20,Toby,Cat,Bengal,10
149,50,Chloe,Dog,German Shepherd,33
150,82,Charlie,Bird,Finch,1
151,57,Jake,Cat,Bengal,10
152,46,Charlie,Rabbit,Lionhead,5
153,61,Sadie,Dog,German Shepherd,25
154,18,Nala,Bird,Cockatiel,2
155,58,Rocky,Cat,Alley,9
156,44,Lucy,Bird,Parakeet,2
157,10,Noir,Dog,German Shepherd,40
158,29,Rocky,Dog,Poodle,36
159,6,Lucy,Dog,Poodle,11
160,41,Rocky,Rabbit,Lionhead,2
161,47,Chloe,Dog,Golden Retriever,18
162,40,Noir,Cat,Alley,3
163,68,Bella,Cat,Alley,8
164,53,Joy,Cat,Ragdoll,10
165,97,Chloe,Dog,Golden Retriever,24
166,61,Max,Dog,German Shepherd,28
167,81,Bree,Cat,Siamese,10
168,49,Charlie,Cat,Ragdoll,3
169,41,Jake,Cat,Alley,6
170,67,Noir,Rabbit,Flemish Giant,1
171,93,Bree,Fish,Guppy,2
172,70,Rocky,Cat,Maine Coon,3
173,11,Rocky,Cat,Bengal,5
174,21,Jake,Cat,Alley,8
175,90,Bree,Dog,Labrador,44
176,18,Sadie,Dog,Poodle,26
177,9,Coco,Dog,Poodle,11
178,19,Sadie,Rabbit,Lionhead,4
179,63,Lucy,Dog,French Bulldog,24
180,14,Rocky,Rabbit,Mini Rex,2
181,6,Milo,Cat,Persian,8
182,48,Noir,Cat,Siamese,10
183,40,Coco,Cat,Maine Coon,5
184,24,Molly,Cat,Alley,4
185,29,Max,Cat,Alley,9
186,91,Sadie,Cat,Alley,4
187,13,Coco,Cat,Siamese,3
188,8,Lola,Cat,Bengal,10
189,39,Lola,Cat,Persian,3
190,55,Toby,Fish,Tetra,2
191,43,Jake,Dog,Golden Retriever,32
192,72,Chloe,Bird,Parakeet,1
193,98,Charlie,Dog,French Bulldog,28
194,15,Sadie,Dog,French Bulldog,15
195,100,Bree,Cat,Alley,3
196,69,Max,Rabbit,Holland Lop,3
197,33,Nala,Dog,Labrador,44
198,98,Buddy,Dog,French Bulldog,36
199,40,Duke,Dog,Golden Retriever,29
200,45,Bree,Dog,Golden Retriever,38
